,word,sentiment
295,hot,['anger']
296,fact,['trust']
297,traveling,['positive']
298,green,"['joy', 'positive', 'trust']"
299,pick,['positive']
300,liking,"['joy', 'positive', 'trust']"
301,limited,"['anger', 'negative', 'sadness']"
302,strike,"['anger', 'negative']"
303,balance,['positive']
304,official,['trust']
305,wrong,['negative']
306,real,"['positive', 'trust']"
307,dull,"['negative', 'sadness']"
308,attention,['positive']
309,enjoy,"['anticipation', 'joy', 'positive', 'trust']"
310,crystal,['positive']
311,found,"['joy', 'positive', 'trust']"
312,promotion,['positive']
313,producing,['positive']
314,task,['positive']
315,lacking,['negative']
316,inferior,"['negative', 'sadness']"
317,baby,"['joy', 'positive']"
318,beast,"['anger', 'fear', 'negative']"
319,horrible,"['anger', 'disgust', 'fear', 'negative']"
320,gem,"['joy', 'positive']"
321,hilarious,"['joy', 'positive', 'surprise']"
322,infinite,['positive']
323,glow,"['anticipation', 'joy', 'positive', 'trust']"
324,gang,"['anger', 'fear', 'negative']"
325,information,['positive']
326,major,['positive']
327,formula,"['positive', 'trust']"
328,contact,['positive']
329,cross,"['anger', 'fear', 'negative', 'sadness']"
330,elegant,"['joy', 'positive']"
331,witness,['trust']
332,crunch,"['anger', 'negative']"
333,bloody,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
334,annoying,"['anger', 'negative']"
335,superstar,"['joy', 'positive', 'trust']"
336,bonus,"['anticipation', 'joy', 'positive', 'surprise']"
337,commission,['trust']
338,depressed,"['anger', 'fear', 'negative', 'sadness']"
339,rightly,['positive']
340,shopkeeper,['trust']
341,small,['negative']
342,dear,['positive']
343,draft,['anticipation']
344,late,"['negative', 'sadness']"
345,change,['fear']
346,broke,"['fear', 'negative', 'sadness']"
347,coup,"['anger', 'surprise']"
348,continue,"['anticipation', 'positive', 'trust']"
349,punch,"['anger', 'fear', 'negative', 'sadness', 'surprise']"
350,grab,"['anger', 'negative']"
351,acceptable,['positive']
352,interested,"['disgust', 'positive', 'sadness']"
353,manage,"['positive', 'trust']"
354,gain,"['anticipation', 'joy', 'positive']"
355,excitement,"['anticipation', 'joy', 'positive', 'surprise']"
356,expect,"['anticipation', 'positive', 'surprise', 'trust']"
357,competition,"['anticipation', 'negative']"
358,ranger,['trust']
359,lag,['negative']
360,slim,['positive']
361,genuine,"['positive', 'trust']"
362,insane,"['anger', 'fear', 'negative']"
363,creature,"['disgust', 'fear', 'negative']"
364,capture,['negative']
365,powerful,"['anger', 'anticipation', 'disgust', 'fear', 'joy', 'positive', 'trust']"
366,entertainment,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
367,music,"['joy', 'positive', 'sadness']"
368,fear,"['anger', 'fear', 'negative']"
369,silly,"['joy', 'negative']"
370,budget,['trust']
371,build,['positive']
372,hell,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
373,fire,['fear']
374,reversal,"['anger', 'disgust', 'negative', 'surprise']"
375,content,"['joy', 'positive', 'trust']"
376,graduation,"['anticipation', 'fear', 'joy', 'positive', 'surprise', 'trust']"
377,gift,"['anticipation', 'joy', 'positive', 'surprise']"
378,brutal,"['anger', 'fear', 'negative']"
379,eat,['positive']
380,scientific,"['positive', 'trust']"
381,theory,"['anticipation', 'trust']"
382,presence,['positive']
383,rear,['negative']
384,delivery,"['anticipation', 'positive']"
385,prime,['positive']
386,unbelievable,['negative']
387,worthy,"['positive', 'trust']"
388,board,['anticipation']
389,maintenance,['trust']
390,debate,['positive']
391,eager,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
392,decent,['positive']
393,inviting,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
394,joy,"['joy', 'positive']"
395,track,['anticipation']
396,dance,"['joy', 'positive', 'trust']"
397,coach,['trust']
398,leading,['trust']
399,success,"['anticipation', 'joy', 'positive']"
400,resistance,"['anger', 'negative']"
401,vote,"['anger', 'anticipation', 'joy', 'negative', 'positive', 'sadness', 'surprise', 'trust']"
402,announcement,['anticipation']
403,core,['positive']
404,remove,"['anger', 'fear', 'negative', 'sadness']"
405,celebration,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
406,disappointment,"['disgust', 'negative', 'sadness']"
407,fee,"['anger', 'negative']"
408,broken,"['anger', 'fear', 'negative', 'sadness']"
409,regret,"['negative', 'sadness']"
410,tribute,['positive']
411,sun,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
412,hopeless,"['fear', 'negative', 'sadness']"
413,account,['trust']
414,fun,"['anticipation', 'joy', 'positive']"
415,trendy,['positive']
416,stellar,['positive']
417,cable,['surprise']
418,university,"['anticipation', 'positive']"
419,constantly,['trust']
420,strive,['anticipation']
421,provide,"['positive', 'trust']"
422,interest,['positive']
423,wit,['positive']
424,daily,['anticipation']
425,serve,"['negative', 'trust']"
426,ignore,['negative']
427,fool,"['disgust', 'negative']"
428,mate,"['positive', 'trust']"
429,lowest,"['negative', 'sadness']"
430,calculator,"['positive', 'trust']"
431,father,['trust']
432,blessed,"['joy', 'positive']"
433,luck,"['anticipation', 'joy', 'positive', 'surprise']"
434,prosperity,['positive']
435,ash,['negative']
436,crime,"['anger', 'negative']"
437,cur,"['anger', 'disgust', 'fear', 'negative']"
438,rest,['positive']
439,crap,"['disgust', 'negative']"
440,trade,['trust']
441,spelling,['positive']
442,arrival,['anticipation']
443,argue,"['anger', 'negative']"
444,special,"['joy', 'positive']"
445,jackpot,"['anticipation', 'joy', 'positive', 'surprise']"
446,mar,['negative']
447,efficient,"['anticipation', 'positive', 'trust']"
448,bank,['trust']
449,related,['trust']
450,misuse,['negative']
451,abuse,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
452,county,['trust']
453,intend,['trust']
454,retirement,"['anticipation', 'fear', 'joy', 'negative', 'positive', 'sadness', 'trust']"
455,mystery,"['anticipation', 'surprise']"
456,exchange,"['positive', 'trust']"
457,corruption,"['disgust', 'negative']"
458,foundation,['positive']
459,ally,"['positive', 'trust']"
460,dragon,['fear']
461,minimum,['negative']
462,advanced,['positive']
463,procrastination,['negative']
464,knight,['positive']
465,handicap,"['negative', 'sadness']"
466,chase,['negative']
467,master,['positive']
468,trainer,['trust']
469,cheap,['negative']
470,trick,"['negative', 'surprise']"
471,untrue,['negative']
472,solution,['positive']
473,junk,['negative']
474,enhance,['positive']
475,increase,['positive']
476,idol,['positive']
477,trash,"['disgust', 'negative', 'sadness']"
478,winner,"['anticipation', 'joy', 'positive', 'surprise']"
479,unfair,"['anger', 'disgust', 'negative', 'sadness']"
480,prefer,"['positive', 'trust']"
481,avenger,"['anger', 'negative']"
482,boycott,['negative']
483,cash,"['anger', 'anticipation', 'fear', 'joy', 'positive', 'trust']"
484,deserved,['positive']
485,notification,['anticipation']
486,opponent,"['anger', 'anticipation', 'disgust', 'fear', 'negative']"
487,ongoing,['anticipation']
488,investigation,['anticipation']
489,recognizable,"['anticipation', 'positive']"
490,displeasure,"['disgust', 'negative']"
491,slam,"['anger', 'fear', 'negative', 'surprise']"
492,treasure,"['anticipation', 'joy', 'positive', 'trust']"
493,slime,['disgust']
494,angel,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
495,pull,['positive']
496,smith,['trust']
497,smashed,['negative']
498,lovely,"['anticipation', 'joy', 'positive', 'sadness', 'surprise', 'trust']"
499,result,['anticipation']
500,interrupted,"['negative', 'sadness']"
501,struggle,"['anger', 'fear', 'negative', 'sadness']"
502,guard,"['fear', 'positive', 'trust']"
503,excellent,"['joy', 'positive', 'trust']"
504,classic,['positive']
505,loss,"['anger', 'fear', 'negative', 'sadness']"
506,pride,"['joy', 'positive']"
507,greeting,"['positive', 'surprise']"
508,vital,['positive']
509,hawk,['fear']
510,forcibly,"['anger', 'fear', 'negative']"
511,indictment,"['fear', 'negative']"
512,pandemic,"['fear', 'negative', 'sadness']"
513,reason,['positive']
514,extend,['positive']
