,word,sentiment
319,pretty,"['anticipation', 'joy', 'positive', 'trust']"
320,damn,"['anger', 'disgust', 'negative']"
321,believing,"['positive', 'trust']"
322,suck,['negative']
323,important,"['positive', 'trust']"
324,excel,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
325,famous,['positive']
326,community,['positive']
327,praised,"['joy', 'positive']"
328,lowering,['negative']
329,critic,['negative']
330,promising,['positive']
331,coincidence,['surprise']
332,lag,['negative']
333,tough,"['negative', 'sadness']"
334,related,['trust']
335,clue,['anticipation']
336,pay,"['anticipation', 'joy', 'positive', 'trust']"
337,career,"['anticipation', 'positive']"
338,journey,"['anticipation', 'fear', 'joy', 'positive']"
339,shame,"['disgust', 'fear', 'negative', 'sadness']"
340,weird,"['disgust', 'negative']"
341,fighting,"['anger', 'negative']"
342,communist,['negative']
343,black,"['negative', 'sadness']"
344,shark,['negative']
345,junta,['negative']
346,machine,['trust']
347,doubt,"['fear', 'negative', 'sadness', 'trust']"
348,slap,"['anger', 'negative', 'surprise']"
349,lint,['negative']
350,preliminary,['anticipation']
351,court,"['anger', 'anticipation', 'fear']"
352,statement,"['positive', 'trust']"
353,prosecution,"['disgust', 'negative']"
354,withdraw,"['negative', 'sadness']"
355,stupid,['negative']
356,misery,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
357,buck,"['fear', 'negative', 'positive', 'surprise']"
358,err,['negative']
359,journalist,['positive']
360,exposed,['negative']
361,impossible,"['negative', 'sadness']"
362,quote,"['anticipation', 'negative', 'positive', 'surprise']"
363,jealous,"['anger', 'disgust', 'negative']"
364,beam,"['joy', 'positive']"
365,attempt,['anticipation']
366,throttle,"['anger', 'negative']"
367,discussion,['positive']
368,argument,"['anger', 'negative']"
369,king,['positive']
370,peace,"['anticipation', 'joy', 'positive', 'trust']"
371,immediately,"['anticipation', 'negative', 'positive']"
372,successful,"['anticipation', 'joy', 'positive', 'trust']"
373,respect,"['anticipation', 'joy', 'positive', 'trust']"
374,worry,"['anticipation', 'fear', 'negative', 'sadness']"
375,grab,"['anger', 'negative']"
376,wrong,['negative']
377,government,"['fear', 'negative']"
378,interrogate,['fear']
379,innovation,['positive']
380,tired,['negative']
381,cutting,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
382,guess,['surprise']
383,sue,"['anger', 'negative', 'sadness']"
384,manual,['trust']
385,bury,['sadness']
386,gray,"['disgust', 'sadness']"
387,sky,['positive']
388,true,"['joy', 'positive', 'trust']"
389,enthusiast,"['anticipation', 'joy', 'positive', 'surprise']"
390,merit,"['positive', 'trust']"
391,supremacy,"['anger', 'anticipation', 'fear', 'joy', 'negative', 'positive', 'surprise', 'trust']"
392,trash,"['disgust', 'negative', 'sadness']"
393,improvement,"['joy', 'positive', 'trust']"
394,improve,"['anticipation', 'joy', 'positive', 'trust']"
395,breach,['negative']
396,track,['anticipation']
397,noise,['negative']
398,music,"['joy', 'positive', 'sadness']"
399,economy,['trust']
400,contact,['positive']
401,brightness,['positive']
402,lower,"['negative', 'sadness']"
403,loving,"['joy', 'positive', 'trust']"
404,improved,['positive']
405,mocking,"['anger', 'disgust', 'negative', 'sadness']"
406,shining,"['anticipation', 'joy', 'positive']"
407,jump,"['joy', 'positive']"
408,tree,"['anger', 'anticipation', 'disgust', 'joy', 'positive', 'surprise', 'trust']"
409,small,['negative']
410,pad,['positive']
411,pressure,['negative']
412,mess,"['disgust', 'negative']"
413,label,['trust']
414,forecast,"['anticipation', 'trust']"
415,overwhelmed,"['negative', 'sadness']"
416,childish,['negative']
417,simplify,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
418,entertainment,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
419,expected,['anticipation']
420,older,['sadness']
421,result,['anticipation']
422,enjoy,"['anticipation', 'joy', 'positive', 'trust']"
423,leading,['trust']
424,glow,"['anticipation', 'joy', 'positive', 'trust']"
425,chosen,['positive']
426,amazingly,"['joy', 'positive', 'surprise']"
427,included,['positive']
428,fun,"['anticipation', 'joy', 'positive']"
429,wasting,"['disgust', 'fear', 'negative', 'sadness']"
430,clean,"['joy', 'positive', 'trust']"
431,celestial,"['anticipation', 'joy', 'positive']"
432,efficient,"['anticipation', 'positive', 'trust']"
433,create,"['joy', 'positive']"
434,adapt,['positive']
435,pop,"['negative', 'surprise']"
436,subject,['negative']
437,capture,['negative']
438,ambition,"['anticipation', 'joy', 'positive', 'trust']"
439,diminish,"['negative', 'sadness']"
440,emergency,"['fear', 'negative', 'sadness', 'surprise']"
441,unique,"['positive', 'surprise']"
442,gorgeous,"['joy', 'positive']"
443,signify,['anticipation']
444,plea,"['anticipation', 'fear', 'negative', 'sadness']"
445,insane,"['anger', 'fear', 'negative']"
446,disappointing,"['negative', 'sadness']"
447,forward,['positive']
448,majority,"['joy', 'positive', 'trust']"
449,riot,"['anger', 'fear', 'negative']"
450,library,['positive']
451,aesthetic,['positive']
452,unstable,"['fear', 'negative', 'surprise']"
453,attendance,['anticipation']
454,lucky,"['joy', 'positive', 'surprise']"
455,drone,['negative']
456,prefer,"['positive', 'trust']"
457,beauty,"['joy', 'positive']"
458,keynote,['positive']
459,child,"['anticipation', 'joy', 'positive']"
460,trend,['positive']
461,spectacular,"['anticipation', 'surprise']"
462,survive,['positive']
463,save,"['joy', 'positive', 'trust']"
464,seek,['anticipation']
465,negative,"['negative', 'sadness']"
466,trade,['trust']
467,daughter,"['joy', 'positive']"
468,resistant,"['fear', 'negative']"
469,boast,"['negative', 'positive']"
470,hurt,"['anger', 'fear', 'negative', 'sadness']"
471,wild,"['negative', 'surprise']"
472,rift,['negative']
473,dominate,"['anger', 'fear', 'negative', 'positive']"
474,encourage,"['joy', 'positive', 'trust']"
475,learn,['positive']
476,tax,"['negative', 'sadness']"
477,subsidy,"['anger', 'disgust', 'negative']"
478,sadly,"['negative', 'sadness']"
479,shameless,"['disgust', 'negative']"
480,coup,"['anger', 'surprise']"
481,hell,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
482,lack,['negative']
483,restrain,"['anger', 'fear', 'negative']"
484,apology,['positive']
485,letter,['anticipation']
486,risky,"['anticipation', 'fear', 'negative']"
487,bug,"['disgust', 'fear', 'negative']"
488,cage,"['negative', 'sadness']"
489,surprised,['surprise']
490,committed,"['positive', 'trust']"
491,immigrant,['fear']
492,cautious,"['anticipation', 'fear', 'positive', 'trust']"
493,idol,['positive']
494,disappoint,"['anger', 'disgust', 'negative', 'sadness']"
495,spent,['negative']
496,land,['positive']
497,witness,['trust']
498,useless,['negative']
499,possibility,['anticipation']
500,extend,['positive']
501,succeed,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
502,analyst,"['anticipation', 'positive', 'trust']"
503,legendary,['positive']
504,render,['positive']
505,optional,['positive']
506,luck,"['anticipation', 'joy', 'positive', 'surprise']"
507,suggest,['trust']
508,employ,['trust']
509,mandarin,"['positive', 'trust']"
510,resistance,"['anger', 'negative']"
511,shooting,"['anger', 'fear', 'negative']"
512,shanghai,"['disgust', 'fear', 'negative']"
513,remains,"['disgust', 'fear', 'negative', 'positive', 'trust']"
514,ban,['negative']
515,hurting,"['anger', 'fear', 'negative', 'sadness']"
516,spider,"['disgust', 'fear']"
517,hanging,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
518,lead,['positive']
519,winning,"['anticipation', 'disgust', 'joy', 'positive', 'sadness', 'surprise', 'trust']"
520,public,"['anticipation', 'positive']"
521,rumor,"['negative', 'sadness']"
522,imminent,"['anticipation', 'fear']"
523,arrival,['anticipation']
524,lesser,"['disgust', 'negative']"
525,supply,['positive']
526,demand,"['anger', 'negative']"
527,fall,"['negative', 'sadness']"
528,household,['positive']
529,hopeful,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
530,diverse,"['negative', 'positive']"
531,guide,"['positive', 'trust']"
532,eager,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
533,providing,"['anticipation', 'joy', 'positive', 'trust']"
534,feeling,"['anger', 'anticipation', 'disgust', 'fear', 'joy', 'negative', 'positive', 'sadness', 'surprise', 'trust']"
535,improving,['positive']
536,copycat,"['anger', 'disgust', 'negative']"
537,sty,"['disgust', 'negative']"
538,unpopular,"['disgust', 'negative', 'sadness']"
539,break,['surprise']
540,warning,['fear']
541,inappropriate,"['anger', 'disgust', 'negative', 'sadness']"
542,leave,"['negative', 'sadness', 'surprise']"
543,unbreakable,['positive']
